FID,START_X,START_Y,END_X,END_Y
3.000000000000000000e+01,-6.930170441620647637e+01,8.019598974816764212e+02,2.666223819241515258e+01,7.673328377193121241e+02
3.100000000000000000e+01,-9.180636127214128805e+01,8.866612304077090130e+02,1.729967247519964602e+01,8.818483329338281465e+02
3.200000000000000000e+01,-1.051192452108653974e+01,9.194383844051883443e+02,7.158543292623974708e+01,9.072977887408096649e+02
3.300000000000000000e+01,-4.648366830938513772e+01,7.557797451028924343e+02,-1.728958958310373362e+01,7.670525794117052101e+02
3.400000000000000000e+01,-1.283076836081954042e+01,7.651884252149930035e+02,4.052840930413010412e+00,7.754910583442917869e+02
3.500000000000000000e+01,5.249640505930134315e-01,7.767641234554770335e+02,3.080080504782092987e+01,7.966062300099881668e+02
3.600000000000000000e+01,-5.955176586671488081e+00,8.105267153268250695e+02,5.121759410652721556e+01,7.878337090096156317e+02
3.700000000000000000e+01,-6.273685077525432519e+01,8.501404004685991822e+02,3.320905717840670945e+01,8.176924669465479383e+02
3.800000000000000000e+01,8.973423374076782366e+00,8.317571011508105130e+02,5.227401663988040781e+01,8.179401284506755019e+02
3.900000000000000000e+01,-1.485326910780046319e+02,9.814318650750807365e+02,-2.687662257717018122e+01,9.500548519795707989e+02
4.000000000000000000e+01,-1.479691128424385909e+02,1.090909666084186711e+03,-5.637349372342600162e+01,1.064979615801652244e+03
4.100000000000000000e+01,-7.903878528753277521e+01,1.023579970032777396e+03,1.615763588297875586e+01,1.002743554954683987e+03
4.200000000000000000e+01,-1.932841530212740366e+01,9.539017490326255029e+02,7.426187542211502546e+01,9.391780331479791357e+02
4.300000000000000000e+01,1.471496029686448770e+00,9.340528031275772491e+02,6.734419097711739255e+01,9.232190350013572697e+02
4.400000000000000000e+01,-5.484206117289103588e+01,8.712575472383315400e+02,1.632776076853958500e+02,7.780860869280620591e+02
4.500000000000000000e+01,4.403754730454979693e+01,8.551696910692204483e+02,9.685618058851227374e+01,8.277868973515536482e+02
4.600000000000000000e+01,7.546638269455932857e+01,8.537722081515643140e+02,1.248001015106072913e+02,8.290605912534510935e+02
4.700000000000000000e+01,1.258098247102991394e+02,9.364260819906522784e+02,1.698228274597219070e+02,9.319300149575851719e+02
4.800000000000000000e+01,1.218373073515217300e+02,9.270829100601234813e+02,1.604187638467032286e+02,9.262991202857436974e+02
4.900000000000000000e+01,-3.157093622216960966e+02,1.041534392514266074e+03,-1.721297671482652163e+02,1.018902265304519460e+03
5.000000000000000000e+01,-2.992734456061519381e+02,1.065041779995590105e+03,-1.683185067863688289e+02,1.039792999625048878e+03
5.100000000000000000e+01,-2.869088529106675765e+02,1.082726272202491828e+03,-1.654727069713371463e+02,1.055391761509017897e+03
5.200000000000000000e+01,-1.553465412455595072e+02,1.110896731545800094e+03,3.172535986512448147e+01,1.036882096551912809e+03
5.300000000000000000e+01,-4.566650430021234683e+02,1.002593094276878446e+03,-2.210317793830786570e+02,1.176946871639348728e+03
5.400000000000000000e+01,-2.121092338422888304e+02,4.699667438618260462e+02,-1.914814720796311462e+02,6.306122139543344929e+02
5.500000000000000000e+01,-4.598803770417563719e+00,5.205549749729875657e+02,1.074687656796885307e+02,4.842631447018969766e+02
5.600000000000000000e+01,7.075095731040173064e+01,6.226942092150918597e+02,1.549732508479528406e+02,5.828973625340377112e+02
5.700000000000000000e+01,2.292804311090533176e+00,5.807935690925744439e+02,1.526444312005682491e+02,5.281594987048750909e+02
5.800000000000000000e+01,-1.683376516043983315e+02,7.985498084344870904e+02,-7.535933373244546374e+01,7.575024650527032009e+02
5.900000000000000000e+01,-1.985645547540448490e+02,8.740042049716796555e+02,-6.445293867356539863e+01,8.375457264587142845e+02
6.000000000000000000e+01,-2.190305362844844979e+02,7.618227511151009139e+02,-1.251511751995859356e+02,7.404961687789360667e+02
6.100000000000000000e+01,-3.346217528925790816e+02,7.220869340907767082e+02,-2.172811555777708463e+02,6.662985026013178640e+02
6.200000000000000000e+01,-3.110815828906460183e+02,6.799095243033076486e+02,-2.005208713518164529e+02,6.389152389367138767e+02
6.300000000000000000e+01,-1.566279494351989001e+02,9.517121380113078430e+02,1.674336157671960450e+02,8.757724955599901477e+02
6.400000000000000000e+01,-1.579309619558975726e+02,8.853431945899989159e+02,-1.370221808046285332e+02,1.022749459203206015e+03
6.500000000000000000e+01,-2.760735475272638269e+02,6.171847450028893718e+02,-1.800839190942215566e+02,5.762788204611734955e+02
6.600000000000000000e+01,-1.526205173163919255e+02,9.202420679586924734e+02,-4.283273231939767101e+01,9.107687636704251872e+02
6.700000000000000000e+01,2.265866272926265879e+01,6.289675644570962731e+02,1.537440902370519495e+02,5.540066246534884158e+02
6.800000000000000000e+01,9.028755733268863537e+01,8.653175793070291775e+02,1.648214284170146300e+02,8.143736014287636635e+02
6.900000000000000000e+01,2.761260510726041417e+01,1.082772609193495555e+03,7.608409358520435717e+01,1.133156725367668514e+03
7.000000000000000000e+01,-2.743888631889729623e+01,1.015355611332083186e+03,-1.965154744393364794e+01,1.022784429585873568e+03
7.100000000000000000e+01,-6.299133903182742955e+01,1.036154174712155054e+03,2.806338035976366996e+01,1.007905089732839429e+03
