1	-426.6461538	152.2153846	1012	300	300	130	79
2	-422.3538462	150.7846154	1198	600	600	247	74
3	-381.0227273	177.2840909	1643	400	400	76	58
4	-320.1136364	219.9204545	2179	600	600	278	53
5	-43.5	17.4	1015	300	300	270	45
6	-52.28571429	20.91428571	1220	600	600	247	74
7	-78	31.2	1820	600	600	27	47
8	-120.5625	48.13125	2815	400	400	230	70
9	-135.8625	51.70125	3223	300	300	60	75
10	-145.95	54.055	3492	300	300	257	63
11	-122.55	48.595	2868	300	300	290	70
12	-496.440625	103.075	2123	600	600	65	70
13	-520.6	131.8	3242	300	300	82	69
14	-522.1	136.3	3347	300	300	231	84
15	-524.4857143	143.4571429	3514	300	300	313	57
16	-530	160	3900	400	400	234	64
17	-376.5217391	-42.60869565	4760	400	400	250	65
18	-352.0289855	-71.8115942	4890	300	300	250	65
19	-320	-110	5060	400	400	250	65
20	-526.8537415	42.96598639	1579	300	300	69	78
21	-527.8401361	44.54421769	1637	300	300	46	68
22	-530.952381	49.52380952	1820	300	300	46	64
23	-534.7278912	55.56462585	2042	300	300	72	65
24	-534.7959184	55.67346939	2046	300	300	243	69
25	-535.5782313	56.92517007	2092	300	300	91	76
26	-558.7209302	80.80232558	2970	400	400	77	82
27	-646.2209302	88.85232558	3271	400	400	345	85
28	-899.34375	112.03125	4089	300	300	253	62
29	-941.1764706	114.3235294	4775	3000	3000	234	71
30	-500	60.81176471	1723	300	300	216	69
31	-500	63.56470588	1801	300	300	26	80
32	-644.3243243	111.6486486	2817	300	300	242	86
33	-1251.351351	202.7027027	3940	300	300	250	68
34	-1478.918919	236.8378378	4361	400	400	280	77
35	-1544	258.8571429	4620	600	1200	285	78
36	-1562.4	266.7428571	4712	400	400	212	50
37	-1614.6	289.1142857	4973	300	300	276	81
38	-1622.4	292.4571429	5012	300	300	257	85
39	-1640	300	5100	300	300	255	69
