FID,START_X,START_Y,END_X,END_Y
73,2090.07851147,-762.308614436,2055.33915958,-762.479806312
74,2055.33915958,-762.479806312,2003.3587105,-762.735960506
75,2003.3587105,-762.735960506,1967.9527129,-762.910437543
76,1967.9527129,-762.910437543,1918.1792998,-763.155715695
77,2767.47523535,-219.725648339,2977.77039867,-185.674094883
78,2767.47523535,-219.725648339,2666.82898462,-236.022557563
79,2666.82898462,-236.022557563,2661.82197059,-236.833306623
80,3537.04407699,-216.415097379,3563.75795036,-215.467810386
81,3537.04407699,-216.415097379,3512.92902431,-217.270228922
82,3512.92902431,-217.270228922,3434.96073466,-220.035022543
83,3434.96073466,-220.035022543,3405.51753561,-221.079092757
84,3405.51753561,-221.079092757,3355.75668286,-222.843636893
85,3355.75668286,-222.843636893,3273.39348016,-225.764276275
86,3273.39348016,-225.764276275,3106.34320325,-231.68796066
87,3106.34320325,-231.68796066,3075.56771162,-232.77927462
88,3075.56771162,-232.77927462,2956.62638798,-236.996992032
89,3213.093633,17.0289905789,3300.48148237,40.6648360493
90,3213.093633,17.0289905789,3204.04303069,14.581068596
91,3300.76588412,40.7417583648,3300.48148237,40.6648360493
92,2988.03345153,264.874515135,3081.69026845,283.141646984
93,2956.71934737,258.766909855,2988.03345153,264.874515135
94,3366.30431878,338.653702106,3279.03079077,321.631587801
95,3279.03079077,321.631587801,3269.55114397,319.782646489
96,3269.55114397,319.782646489,3269.37440326,319.748174403
97,3269.37440326,319.748174403,3264.98102142,318.891274841
98,3264.98102142,318.891274841,3237.4190375,313.515495363
99,3237.4190375,313.515495363,3183.65508717,303.029198674
100,3183.65508717,303.029198674,3181.77663413,302.662819049
101,3181.77663413,302.662819049,3145.34318368,295.55671973
102,3145.34318368,295.55671973,3086.61259885,284.101714403
103,3086.61259885,284.101714403,3081.69026845,283.141646984
104,3259.20458512,113.826557917,3299.45229005,115.642135428
105,3299.45229005,115.642135428,3352.94061241,118.054998358
106,3352.94061241,118.054998358,3364.56800943,118.57951126
107,3364.56800943,118.57951126,3375.96558451,119.093656875
108,3308.76028514,378.367893241,3387.62027027,386.53836768
109,3308.76028514,378.367893241,3293.14125435,376.74964678
110,3293.14125435,376.74964678,3291.38094753,376.567266049
111,3291.38094753,376.567266049,3255.34188932,372.833354568
112,3255.34188932,372.833354568,3215.00165267,368.653809367
113,3215.00165267,368.653809367,3212.05571437,368.348588493
114,3212.05571437,368.348588493,3192.00425898,366.271110245
115,3192.00425898,366.271110245,3123.54492491,359.178219748
116,3123.54492491,359.178219748,3093.61665986,356.077431381
117,3402.91350397,-646.943444149,3382.09982814,-649.90958495
118,3382.09982814,-649.90958495,3377.18060181,-650.610620078
119,3377.18060181,-650.610620078,3358.68324723,-653.246663735
120,3358.68324723,-653.246663735,3271.83475002,-665.623375718
121,3021.34248638,-438.590514551,2969.94477917,-475.271209948
122,2969.94477917,-475.271209948,2943.88234908,-493.87102911
123,2943.88234908,-493.87102911,2937.81971417,-498.197713636
124,2937.81971417,-498.197713636,2930.36032578,-503.521210893
125,2930.36032578,-503.521210893,2884.09108286,-536.541905749
126,2158.73653432,-130.334837386,2371.30833392,-2.12692430037
127,1914.82294696,0.372422504669,1906.03326861,-8.05459685934
128,1906.03326861,-8.05459685934,1863.75795036,-48.5856505776
129,3230.79330535,170.805784438,3305.16222273,210.302282599
130,3230.79330535,170.805784438,3206.7400289,158.031359008
131,3400.36304216,260.862370364,3330.80411711,223.920405197
132,3330.80411711,223.920405197,3328.36865113,222.626956519
133,3328.36865113,222.626956519,3305.16222273,210.302282599
134,2350.15531773,303.45907045,2380.223497,325.709562454
135,2380.223497,325.709562454,2458.52091124,383.649751433
136,2350.15531773,303.45907045,2307.37110792,271.798699211
137,3230.57953835,-12.2560903115,3252.80852254,0.847364123659
138,3230.57953835,-12.2560903115,3186.86911949,-38.0223366174
139,2461.51193537,-339.658892773,2383.74793086,-404.228683316
140,2111.88549774,52.5620700217,2181.62087812,86.1669986176
141,2111.88549774,52.5620700217,2083.4824659,38.8748734844
142,2083.4824659,38.8748734844,2014.59593516,5.67899882471
143,2014.59593516,5.67899882471,1933.24986171,-33.5210309865
144,3328.62078495,259.547237466,3394.85488232,319.629640338
145,3328.62078495,259.547237466,3299.98539948,233.571451062
146,3299.98539948,233.571451062,3230.79330535,170.805784438
147,2926.27828414,-574.33692183,2722.60186733,-742.324844245
148,2722.60186733,-742.324844245,2716.85151628,-747.06760996
149,2716.85151628,-747.06760996,2696.97463654,-763.46163232
150,2278.16629289,-114.838436223,2441.25060524,-8.28302558118
151,2441.25060524,-8.28302558118,2476.02542086,14.4380118109
152,2778.38951984,-622.289153864,2881.23478213,-555.580286962
153,2778.38951984,-622.289153864,2772.99503739,-625.788195079
154,2772.99503739,-625.788195079,2712.27107248,-665.175783802
155,2712.27107248,-665.175783802,2661.33427498,-698.215089351
156,2661.33427498,-698.215089351,2660.31813138,-698.874193978
157,2055.33915958,-762.479806312,2053.01321705,-763.46163232
158,3545.32216827,354.036720829,3563.75795036,366.378585994
159,3512.92902431,-217.270228922,3563.75795036,-150.751617004
160,3512.92902431,-217.270228922,3472.42744378,-270.273688297
161,3470.54498389,382.714502408,3475.45287417,386.53836768
162,3470.54498389,382.714502408,3450.42661232,367.039754615
163,3450.42661232,367.039754615,3400.90423448,328.455578947
164,3400.90423448,328.455578947,3338.15822061,279.568523696
165,3338.15822061,279.568523696,3285.10312428,238.231914949
166,3285.10312428,238.231914949,3250.84749377,211.542460145
167,3250.84749377,211.542460145,3217.36012629,185.451579094
168,3217.36012629,185.451579094,3192.98683433,166.461711889
169,3192.98683433,166.461711889,3177.07323793,154.063014053
170,3177.07323793,154.063014053,3175.45478266,152.802033362
171,3175.45478266,152.802033362,3162.4884402,142.699617902
172,3162.4884402,142.699617902,3114.40394841,105.235736745
173,3114.40394841,105.235736745,3111.28486566,102.805578057
174,3111.28486566,102.805578057,3065.49902429,67.1326353656
175,3065.49902429,67.1326353656,3021.1805545,32.6029601254
176,3021.1805545,32.6029601254,2970.97427908,-6.51405797844
177,2278.43928665,-488.917984116,2200.8290492,-566.171996241
178,2200.8290492,-566.171996241,2191.91891535,-575.041233223
179,2191.91891535,-575.041233223,2162.66410334,-604.161767788
180,2162.66410334,-604.161767788,2117.245558,-649.371845322
181,2117.245558,-649.371845322,2003.3587105,-762.735960506
182,2003.3587105,-762.735960506,2002.62969254,-763.46163232
183,2371.48998786,-221.007794611,2311.39679291,-284.369677597
184,3400.90423448,328.455578947,3394.85488232,319.629640338
185,3394.85488232,319.629640338,3329.52889961,224.319746362
186,3329.52889961,224.319746362,3328.36865113,222.626956519
187,1864.93279214,-237.342740599,1863.75795036,-238.793201347
188,1946.4296162,-140.213012279,1914.39975214,-163.469044331
189,1914.39975214,-163.469044331,1884.26012169,-185.352628049
190,1884.26012169,-185.352628049,1863.75795036,-200.238709138
191,2688.9151573,-518.618650809,2850.3817083,-427.032806061
192,2035.90115014,-152.641274721,2168.04112255,-84.1461883107
193,2584.19840097,131.569981648,2506.34626318,91.2151305891
194,2506.34626318,91.2151305891,2358.85252788,14.7613826422
195,2358.85252788,14.7613826422,2168.04112255,-84.1461883107
196,2476.92577466,-455.203224716,2613.98931812,-344.119242848
197,3033.0964704,-4.45130394817,2962.02604849,-62.0507593483
198,2962.02604849,-62.0507593483,2923.65749809,-93.1467842278
199,2923.65749809,-93.1467842278,2914.91506152,-100.232145081
200,2914.91506152,-100.232145081,2800.91663979,-192.622858857
201,2800.91663979,-192.622858857,2767.47523535,-219.725648339
202,2767.47523535,-219.725648339,2630.92839459,-330.390865363
203,2630.92839459,-330.390865363,2613.98931812,-344.119242848
204,2517.03030634,344.149799074,2618.10696127,386.53836768
205,2630.91948,-229.443451699,2584.30024291,-268.776850301
206,2584.30024291,-268.776850301,2552.30868319,-295.768642719
207,2552.30868319,-295.768642719,2501.66492214,-338.497596783
208,2501.66492214,-338.497596783,2423.44396818,-404.493871133
209,2423.44396818,-404.493871133,2350.38277104,-466.136775836
210,2350.38277104,-466.136775836,2302.42047133,-506.603337931
211,2666.75087085,-212.970581814,2684.75567557,-199.349050728
212,2684.75567557,-199.349050728,2724.61096652,-169.19653906
213,3102.82763929,116.943202226,3067.76480313,90.416421172
214,3067.76480313,90.416421172,3051.69732665,78.2605753511
215,3051.69732665,78.2605753511,2977.07264749,21.8032906078
216,2977.07264749,21.8032906078,2938.20481304,-7.60216106549
217,2938.20481304,-7.60216106549,2859.98974787,-66.7757515564
218,2859.98974787,-66.7757515564,2823.3628477,-94.4858248896
219,2823.3628477,-94.4858248896,2811.00259645,-103.83697028
220,2811.00259645,-103.83697028,2756.15499751,-145.331909296
221,2756.15499751,-145.331909296,2724.61096652,-169.19653906
222,3113.87305905,117.453313452,3162.86834431,145.57725208
223,3113.87305905,117.453313452,3106.50514348,113.224032938
224,3213.07938202,174.399048616,3191.67230044,162.111102025
225,3191.67230044,162.111102025,3176.91367644,153.639457594
226,3176.91367644,153.639457594,3175.45478266,152.802033362
227,3175.45478266,152.802033362,3162.86834431,145.57725208
228,3000.90375383,362.130308167,3019.28912856,386.53836768
229,3000.90375383,362.130308167,2918.9382054,253.314468758
230,2918.9382054,253.314468758,2802.17850223,98.306598362
231,2802.17850223,98.306598362,2726.21959242,-2.53494652826
232,2726.21959242,-2.53494652826,2704.17070091,-31.8066183857
233,2704.17070091,-31.8066183857,2679.58955974,-64.4400547692
234,2679.58955974,-64.4400547692,2658.29896229,-92.7050304371
235,2658.29896229,-92.7050304371,2553.04038683,-232.444231394
236,2553.04038683,-232.444231394,2538.44221884,-251.824470203
237,2538.44221884,-251.824470203,2522.37357918,-273.156878106
238,2522.37357918,-273.156878106,2481.01714181,-328.060865609
