#FID, PT_X, PT_Y
4,-51821.145,6711294.257
4,-51820.8918,6711294.767
5,-51821.4006,6711292.21
5,-51820.846,6711292.705
5,-51820.2862,6711293.495
5,-51819.6115,6711294.352
8,-51821.1177,6711293.306
8,-51820.9715,6711293.519
8,-51820.7212,6711293.808
8,-51820.284,6711294.391
8,-51819.9795,6711294.713
9,-51819.9809,6711294.995
9,-51820.374,6711294.543
9,-51820.7823,6711294.013
9,-51821.0651,6711293.631
13,-51821.227,6711291.692
13,-51820.8858,6711292.036
13,-51820.6358,6711292.293
14,-51820.9397,6711291.785
14,-51820.6645,6711292.093
15,-51818.5381,6711291.851
15,-51818.2204,6711292.372
15,-51818.1113,6711292.498
17,-51820.332,6711291.115
17,-51819.8405,6711291.769
17,-51819.4307,6711292.344
18,-51819.8447,6711291.955
18,-51819.4297,6711292.472
18,-51819.131,6711292.882
19,-51819.8257,6711292.455
19,-51819.1951,6711293.405
20,-51819.8538,6711293.022
20,-51819.4831,6711292.971
20,-51819.2039,6711292.782
21,-51819.5517,6711291.721
21,-51819.0861,6711292.382
21,-51818.3955,6711293.289
21,-51817.9767,6711293.672
22,-51818.3257,6711293.353
22,-51818.0867,6711293.868
22,-51817.7827,6711294.278
24,-51819.1822,6711293.213
24,-51818.4625,6711293.962
24,-51818.297,6711294.133
24,-51818.0689,6711294.4
26,-51818.832,6711293.154
26,-51818.4701,6711293.73
26,-51818.0514,6711294.195
30,-51820.0765,6711293.436
30,-51819.8466,6711293.632
30,-51819.5268,6711294.011
30,-51819.0273,6711294.576
32,-51818.2069,6711292.822
32,-51817.8673,6711293.27
33,-51818.7362,6711292.569
33,-51818.5154,6711292.898
33,-51818.2106,6711293.458
35,-51819.4071,6711293.695
35,-51818.698,6711294.457
36,-51819.6174,6711292.082
36,-51820.2769,6711292.434
36,-51820.5347,6711292.569
37,-51820.846,6711292.705
37,-51821.0447,6711292.805
37,-51821.2076,6711292.876
38,-51818.8618,6711292.084
38,-51818.4706,6711291.962
38,-51818.2237,6711291.834
38,-51818.1193,6711291.747
39,-51817.2899,6711291.89
39,-51817.8175,6711292.191
39,-51818.2203,6711292.372
39,-51818.7362,6711292.569
39,-51818.8963,6711292.631
40,-51820.9297,6711292.631
40,-51820.683,6711292.495
41,-51819.68,6711291.994
41,-51819.2158,6711291.788
42,-51819.3044,6711291.828
42,-51819.2052,6711292.035
42,-51819.0916,6711292.245
43,-51818.7456,6711291.852
43,-51819.0905,6711291.984
43,-51819.2052,6711292.035
44,-51820.3206,6711293.447
44,-51820.8269,6711293.686
45,-51819.504,6711293.874
45,-51819.8631,6711294.032
47,-51819.2909,6711292.091
47,-51819.1761,6711292.089
48,-51819.1537,6711292.851
48,-51818.9573,6711292.737
49,-51819.2231,6711293.362
49,-51819.0395,6711293.182
49,-51818.9282,6711293.086
50,-51820.7964,6711291.946
50,-51820.4839,6711291.852
51,-51820.8788,6711291.675
51,-51820.5073,6711292.095
51,-51820.03,6711292.797
52,-51820.7565,6711294.417
52,-51820.9179,6711294.205
52,-51820.9893,6711294.041
53,-51821.1177,6711293.877
53,-51820.9893,6711294.041
53,-51820.775,6711294.24
53,-51820.6586,6711294.399
54,-51820.9141,6711293.585
54,-51821.0651,6711293.631
54,-51821.1454,6711293.663
55,-51821.1177,6711293.436
55,-51820.9814,6711293.271
56,-51821.0158,6711293.313
56,-51821.1666,6711293.131
57,-51820.9955,6711293.288
57,-51820.6805,6711293.617
58,-51819.4997,6711293.83
58,-51820.2405,6711293.211
58,-51820.368,6711293.052
58,-51820.7935,6711292.779
59,-51820.2355,6711293.559
59,-51820.0765,6711293.436
59,-51820.0271,6711293.389
60,-51820.368,6711293.052
60,-51820.0581,6711292.756
61,-51818.8911,6711293.867
61,-51818.5688,6711293.574
62,-51818.8144,6711293.443
62,-51819.0395,6711293.182
63,-51818.7324,6711294.352
63,-51819.2563,6711293.676
64,-51818.9732,6711294.352
64,-51819.206,6711294.097
65,-51819.2173,6711293.727
65,-51818.8711,6711293.537
66,-51819.2846,6711293.827
66,-51819.1871,6711293.765
67,-51818.4701,6711293.73
67,-51818.3858,6711293.66
68,-51820.4128,6711293.49
68,-51821.0447,6711292.805
70,-51819.3431,6711293.764
70,-51819.5382,6711293.798
71,-51819.9019,6711294.499
71,-51820.2908,6711294.002
71,-51820.7211,6711293.636
72,-51820.1188,6711294.441
72,-51820.5395,6711293.904
72,-51820.7458,6711293.647
73,-51820.046,6711294.315
73,-51819.8128,6711294.096
74,-51818.4026,6711294.024
74,-51818.3355,6711293.978
75,-51819.9728,6711294.246
75,-51820.4443,6711293.753
76,-51820.6931,6711294.352
76,-51820.2116,6711293.996
77,-51819.4493,6711294.099
77,-51819.1584,6711293.962
78,-51819.709,6711293.002
78,-51819.878,6711292.718
79,-51818.4363,6711293.235
79,-51818.3313,6711293.236
80,-51819.6458,6711294.463
80,-51819.9199,6711294.197
81,-51821.0031,6711293.879
81,-51821.1177,6711293.752
82,-51820.4959,6711293.199
82,-51820.4971,6711292.968
83,-51818.813,6711294.248
83,-51818.3488,6711294.079
84,-51818.2594,6711294.352
84,-51818.4918,6711294.131
