#FID, PT_X, PT_Y
1,-54486.225,6732808.017
1,-54479.3828,6732797.878
2,-54473.7016,6732797.878
2,-54470.7713,6732813.091
3,-54486.1285,6732797.878
3,-54484.429,6732812.423
4,-54476.6367,6732811.497
4,-54471.3015,6732810.338
5,-54482.1782,6732811.516
5,-54478.8463,6732810.174
6,-54486.028,6732805.901
6,-54485.2123,6732805.719
7,-54481.6129,6732811.289
7,-54482.0742,6732806.708
8,-54479.1742,6732810.306
8,-54479.2167,6732807.528
9,-54483.5766,6732812.08
9,-54483.6618,6732808.904
10,-54481.6859,6732810.564
10,-54483.6186,6732810.515
11,-54482.6291,6732810.54
11,-54482.6299,6732808.481
13,-54479.5342,6732808.296
13,-54479.402,6732806.867
15,-54486.0211,6732802.61
15,-54485.591,6732802.478
16,-54485.0784,6732806.865
16,-54482.1016,6732803.993
17,-54480.8013,6732810.962
17,-54480.6391,6732808.363
18,-54473.0625,6732807.165
18,-54473.503,6732802.989
19,-54474.0844,6732805.596
19,-54472.4077,6732804.595
20,-54476.6394,6732807.253
20,-54473.2266,6732805.609
21,-54474.9563,6732806.442
21,-54475.2297,6732803.094
22,-54480.3572,6732805.262
22,-54479.402,6732806.867
22,-54479.2324,6732807.099
23,-54478.7538,6732808.557
23,-54478.7362,6732806.812
24,-54484.7751,6732809.461
24,-54483.6527,6732809.244
24,-54482.6297,6732809.032
24,-54480.6585,6732808.673
25,-54483.6328,6732809.985
25,-54481.7904,6732809.526
27,-54479.8286,6732801.209
27,-54479.9696,6732803.588
28,-54482.6645,6732802.737
28,-54482.1016,6732803.993
28,-54481.5507,6732805.212
29,-54479.3326,6732806.962
29,-54478.7362,6732806.812
29,-54477.0007,6732806.606
30,-54478.8124,6732806.831
30,-54478.9105,6732805.474
31,-54478.0291,6732806.728
31,-54478.1186,6732805.414
32,-54476.1622,6732807.83
32,-54476.1249,6732806.673
34,-54476.1249,6732806.673
34,-54477.4957,6732804.487
35,-54483.6879,6732808.264
35,-54484.1781,6732805.996
36,-54474.0553,6732807.853
36,-54474.2095,6732806.083
37,-54478.9964,6732804.105
37,-54479.3491,6732801.114
38,-54478.5162,6732803.966
38,-54479.0195,6732801.985
39,-54478.4278,6732802.922
39,-54478.7739,6732801
40,-54477.1949,6732802.807
40,-54477.1127,6732800.982
41,-54476.8826,6732802.79
41,-54477.141,6732801.611
42,-54481.5839,6732808.527
42,-54481.2058,6732806.44
43,-54481.243,6732806.645
43,-54481.7154,6732805.322
44,-54481.6222,6732805.583
44,-54481.5507,6732805.212
46,-54478.75,6732808.176
46,-54479.5342,6732808.296
46,-54480.6443,6732808.447
47,-54480.0232,6732805.823
47,-54480.0856,6732804.4
48,-54480.2788,6732805.393
48,-54480.4419,6732803.963
50,-54479.1998,6732805.498
50,-54479.3201,6732804.193
51,-54477.4768,6732806.662
51,-54477.48,6732805.524
52,-54477.322,6732804.764
52,-54477.2371,6732803.63
54,-54475.4162,6732807.006
54,-54476.1835,6732805.815
55,-54475.87,6732806.302
55,-54476.0483,6732803.313
56,-54480.3167,6732808.402
56,-54480.3375,6732807.165
57,-54477.5594,6732804.096
57,-54477.5237,6732803.707
58,-54475.8396,6732800.418
58,-54475.8396,6732797.878
59,-54473.3165,6732799.877
59,-54475.8396,6732800.418
59,-54479.8286,6732801.209
59,-54481.9673,6732801.704
60,-54478.7483,6732808.007
60,-54476.4864,6732807.292
61,-54480.7208,6732809.673
61,-54479.1902,6732809.258
62,-54474.5865,6732806.696
62,-54474.6924,6732804.58
63,-54477.0609,6732807.473
63,-54478.079,6732808.813
64,-54480.7778,6732803.389
64,-54481.3482,6732801.561
65,-54476.9619,6732800.641
65,-54477.5499,6732797.878
66,-54480.5132,6732802.516
66,-54480.8944,6732803.016
66,-54481.7113,6732803.872
67,-54484.5051,6732805.468
67,-54484.6804,6732803.561
68,-54485.8275,6732800.454
68,-54482.9509,6732803.163
69,-54479.4773,6732804.235
69,-54479.5739,6732802.423
70,-54482.9606,6732808.482
70,-54482.9606,6732806.71
71,-54484.9434,6732808.02
71,-54482.9606,6732806.71
71,-54481.5149,6732805.883
72,-54481.8995,6732804.44
72,-54480.0856,6732804.4
72,-54477.9278,6732803.815
72,-54475.2297,6732803.094
72,-54474.4954,6732802.949
