#FID, PT_X, PT_Y
147,-54478.275,6732804.991
147,-54478.2671,6732804.944
147,-54478.2541,6732804.882
147,-54478.1676,6732804.502
148,-54478.3661,6732805.409
148,-54478.2761,6732805.176
148,-54478.2514,6732804.982
148,-54478.2487,6732804.947
148,-54478.2463,6732804.915
149,-54478.0724,6732805.098
149,-54478.2585,6732804.903
152,-54478.3,6732804.961
152,-54478.283,6732804.902
158,-54476.9031,6732805.564
158,-54476.8575,6732805.435
160,-54476.8111,6732805.505
160,-54476.9147,6732805.348
160,-54476.9994,6732805.272
160,-54477.1239,6732805.14
161,-54476.9352,6732805.492
161,-54476.8874,6732805.389
162,-54476.9704,6732805.412
162,-54476.9147,6732805.348
164,-54477.0055,6732805.35
164,-54476.9709,6732805.298
165,-54477.5045,6732806.103
165,-54477.3775,6732805.369
165,-54477.2297,6732804.891
166,-54477.6553,6732805.514
166,-54477.5362,6732805.228
167,-54477.396,6732804.807
167,-54477.2983,6732804.574
168,-54477.5309,6732804.161
168,-54477.4383,6732803.732
169,-54477.4357,6732804.323
169,-54477.3801,6732803.926
170,-54477.3431,6732804.169
170,-54477.271,6732804.82
171,-54477.3306,6732804.282
171,-54476.8602,6732803.852
172,-54478.1765,6732803.892
172,-54478.0284,6732804
172,-54477.9019,6732804.107
172,-54477.7709,6732804.244
173,-54478.3273,6732803.921
173,-54478.1897,6732804.386
173,-54478.1676,6732804.502
173,-54478.1421,6732804.693
173,-54478.1119,6732804.901
175,-54479.596,6732804.228
175,-54478.3273,6732803.921
175,-54478.1765,6732803.892
175,-54477.9278,6732803.815
176,-54478.0284,6732804
176,-54477.9278,6732803.815
176,-54477.8749,6732803.732
177,-54478.1897,6732804.386
177,-54478.0597,6732803.977
178,-54477.7532,6732803.9
178,-54477.4546,6732803.808
180,-54477.4603,6732803.834
180,-54477.1235,6732803.732
182,-54479.596,6732804.937
182,-54479.2269,6732804.786
183,-54479.596,6732806.103
183,-54479.002,6732805.872
184,-54479.01,6732805.811
184,-54478.6538,6732805.695
184,-54478.6211,6732805.682
185,-54476.9621,6732806.103
185,-54477.224,6732805.481
186,-54477.0577,6732805.876
186,-54476.9753,6732805.663
187,-54478.576,6732805.65
187,-54478.6395,6732805.362
187,-54478.6819,6732804.941
187,-54478.7189,6732804.856
188,-54478.0416,6732806.103
188,-54478.0998,6732805.582
189,-54478.883,6732806.103
189,-54478.9417,6732805.789
190,-54478.8883,6732806.074
190,-54478.8789,6732805.769
191,-54478.6343,6732805.613
191,-54478.576,6732805.918
192,-54478.4887,6732805.754
192,-54478.4781,6732805.852
193,-54478.4464,6732805.873
193,-54478.4305,6732806.04
194,-54478.8864,6732806.013
194,-54478.5811,6732805.891
195,-54478.9029,6732805.776
195,-54479.2825,6732805.415
196,-54478.9967,6732805.936
196,-54479.002,6732805.872
196,-54479.01,6732805.811
196,-54479.0383,6732805.648
197,-54477.7717,6732806.103
197,-54478.0766,6732805.789
198,-54479.2113,6732805.483
198,-54479.2269,6732804.786
198,-54479.2878,6732804.153
199,-54478.5898,6732805.587
199,-54478.2956,6732805.431
200,-54479.1581,6732805.607
200,-54479.1581,6732805.141
200,-54479.1819,6732804.773
201,-54479.2262,6732804.816
201,-54479.1819,6732804.773
201,-54479.0496,6732804.712
202,-54479.0682,6732804.506
202,-54479.0496,6732804.712
202,-54479.0073,6732805.025
202,-54478.9599,6732805.212
203,-54479.596,6732803.883
203,-54479.5312,6732803.732
204,-54479.5656,6732803.914
204,-54479.5074,6732803.793
205,-54479.5365,6732803.967
205,-54479.4867,6732803.851
207,-54479.3987,6732804.18
207,-54479.4941,6732804.007
207,-54479.5365,6732803.967
207,-54479.5656,6732803.914
207,-54479.596,6732803.883
208,-54479.2533,6732804.145
208,-54479.4359,6732803.912
208,-54479.4867,6732803.851
208,-54479.5074,6732803.793
208,-54479.544,6732803.762
208,-54479.596,6732803.732
209,-54479.4148,6732803.732
209,-54479.4041,6732803.95258
210,-54479.0735,6732803.732
210,-54478.9983,6732804.083
211,-54478.5522,6732803.732
211,-54478.5162,6732803.966
212,-54477.246,6732804.863
212,-54476.8602,6732804.769
213,-54478.8344,6732805.754
213,-54478.8221,6732805.447
214,-54478.6538,6732805.695
214,-54478.6395,6732805.362
215,-54479.1021,6732805.587
215,-54479.0205,6732805.547
215,-54478.8221,6732805.447
215,-54478.6395,6732805.362
