#FID, PT_X, PT_Y
1,-51533.6462,6711386.038
1,-51595.1884,6711313.029
1,-51616.3862,6711284.491
1,-51630.5635,6711271.063
17,-51751.6809,6711394.856
17,-51753.595,6711363.019
18,-51799.368,6711329.417
18,-51809.9514,6711306.398
18,-51813.1264,6711295.55
19,-51803.8659,6711313.277
19,-51813.036,6711293.526
19,-51823.1805,6711271.063
20,-51805.8015,6711297.582
20,-51808.8158,6711295.286
22,-51805.1646,6711305.035
22,-51807.5458,6711299.744
22,-51808.8158,6711295.286
22,-51817.4286,6711281.786
24,-51784.3948,6711325.276
24,-51793.3906,6711296.966
24,-51805.0323,6711271.063
25,-51777.7802,6711296.436
25,-51792.3323,6711271.063
26,-51776.2184,6711333.128
26,-51780.6906,6711313.899
26,-51783.601,6711300.405
26,-51785.0628,6711283.738
27,-51761.1114,6711354.38
27,-51766.1385,6711305.961
27,-51766.924,6711275.937
28,-51773.1803,6711336.045
28,-51777.7802,6711313.634
28,-51779.3677,6711301.993
28,-51780.0504,6711292.478
29,-51789.6864,6711319.72
29,-51784.3948,6711325.276
29,-51761.8893,6711346.888
30,-51769.802,6711339.29
30,-51771.4301,6711320.514
30,-51772.2239,6711304.903
30,-51773.2822,6711293.526
38,-51660.9238,6711271.063
38,-51645.6648,6711304.669
41,-51533.6462,6711319.238
41,-51577.3337,6711334.21
41,-51621.7654,6711363.953
42,-51586.1789,6711271.063
42,-51563.1601,6711302.794
42,-51549.7555,6711324.759
43,-51574.5372,6711305.176
43,-51562.5747,6711329.152
44,-51567.658,6711306.234
44,-51555.7694,6711326.82
45,-51740.1667,6711377.142
45,-51744.07,6711372.544
45,-51748.5679,6711368.84
45,-51753.595,6711363.019
45,-51761.1114,6711354.38
45,-51768.4772,6711348.832
46,-51766.2344,6711302.297
46,-51759.1759,6711325.394
46,-51750.8723,6711366.172
47,-51609.3976,6711355.674
47,-51638.5665,6711320.257
47,-51648.3561,6711305.705
49,-51698.627,6711271.063
49,-51685.3978,6711300.413
53,-51761.3334,6711392.316
53,-51780.6988,6711328.825
56,-51771.6764,6711315.67
56,-51779.3677,6711301.993
58,-51732.8615,6711360.151
58,-51745.3929,6711313.277
59,-51737.8664,6711341.43
59,-51708.4166,6711334.809
59,-51670.1552,6711323.638
60,-51815.1471,6711306.44
60,-51828.9218,6711281.834
61,-51820.4388,6711310.938
61,-51828.9218,6711293.476
62,-51819.3805,6711305.647
62,-51828.9218,6711288.449
63,-51743.0603,6711381.743
63,-51722.1474,6711373.909
64,-51722.1686,6711369.681
64,-51711.897,6711366.057
70,-51661.6885,6711391.107
70,-51605.5815,6711373.423
74,-51769.9463,6711390.587
74,-51779.2487,6711333.58
78,-51767.7456,6711341.264
78,-51766.3094,6711350.465
79,-51765.6421,6711343.284
79,-51769.9807,6711301.43
79,-51770.113,6711299.71
80,-51779.5401,6711299.59
80,-51770.113,6711299.71
80,-51766.2709,6711300.901
80,-51751.0635,6711303.443
81,-51772.9937,6711296.628
81,-51784.6651,6711271.063
82,-51747.201,6711310.142
82,-51764.0758,6711309.36
83,-51769.2099,6711271.063
83,-51766.924,6711275.937
83,-51751.0635,6711303.443
83,-51747.201,6711310.142
83,-51745.3929,6711313.277
83,-51725.0275,6711338.544
83,-51711.897,6711366.057
83,-51699.8241,6711393.005
84,-51772.5813,6711392.81
84,-51780.5199,6711357.76
84,-51791.6324,6711334.476
84,-51797.2879,6711318.028
84,-51805.2254,6711299.11
84,-51805.8015,6711297.582
84,-51807.739,6711293.025
85,-51771.8168,6711337.355
85,-51768.4772,6711348.832
85,-51757.1259,6711392.851
86,-51788.1449,6711341.784
86,-51802.6854,6711296.306
86,-51812.2105,6711271.063
87,-51780.5199,6711357.76
87,-51787.3003,6711322.225
88,-51721.7496,6711392.946
88,-51722.1474,6711373.909
88,-51722.1686,6711369.681
88,-51723.2037,6711342.365
89,-51788.9773,6711276.913
89,-51787.1345,6711299.681
90,-51746.8877,6711392.879
90,-51748.5679,6711368.84
91,-51742.1231,6711392.892
91,-51743.0603,6711381.743
91,-51744.07,6711372.544
92,-51742.6514,6711361.076
92,-51759.176,6711325.394
93,-51742.9159,6711352.345
93,-51760.4052,6711309.53
94,-51740.5347,6711348.905
94,-51755.604,6711309.752
95,-51759.4044,6711302.049
95,-51766.6132,6711287.818
96,-51755.2001,6711302.751
96,-51766.7178,6711283.817
97,-51789.5968,6711308.905
97,-51792.3323,6711271.063
98,-51778.0355,6711392.795
98,-51786.7134,6711368.819
99,-51828.9218,6711383.83
99,-51788.1449,6711341.783
100,-51702.9929,6711385.932
100,-51615.6511,6711364.78
101,-51610.624,6711271.063
101,-51592.1031,6711299.957
102,-51600.5698,6711271.063
102,-51579.4031,6711304.19
103,-51561.1468,6711271.063
103,-51533.6462,6711312.657
104,-51681.7116,6711327.012
104,-51673.54,6711378.799
105,-51708.4166,6711334.809
105,-51699.7888,6711374.57
105,-51697.9253,6711384.705
106,-51666.1874,6711393.096
106,-51702.5469,6711361.859
107,-51721.8025,6711390.413
107,-51730.0485,6711376.869
108,-51728.8975,6711392.927
108,-51736.196,6711379.172
109,-51732.9484,6711377.955
109,-51740.2701,6711356.313
110,-51738.1667,6711349.805
110,-51750.197,6711310.003
111,-51712.3986,6711392.972
111,-51722.0166,6711380.169
112,-51722.16,6711371.393
112,-51712.0566,6711382.506
113,-51677.2558,6711355.251
113,-51661.0669,6711343.379
114,-51694.8477,6711330.847
114,-51707.6116,6711305.909
114,-51720.9061,6711271.063
115,-51715.4754,6711336.396
115,-51756.0525,6711271.063
116,-51702.2773,6711333.017
116,-51737.7962,6711271.063
117,-51648.6315,6711333.853
117,-51653.6586,6711315.333
118,-51647.9673,6711351.188
118,-51675.3545,6711271.063
120,-51605.2397,6711325.916
120,-51624.0513,6711296.032
121,-51602.3293,6711325.387
121,-51615.0761,6711301.512
121,-51619.1967,6711293.762
122,-51597.5668,6711322.212
122,-51615.0761,6711301.512
125,-51627.9127,6711297.84
125,-51642.0169,6711271.063
126,-51644.2901,6711304.14
126,-51634.291,6711271.063
127,-51533.6462,6711389.575
127,-51584.2832,6711338.862
128,-51559.5019,6711363.681
128,-51579.194,6711335.456
129,-51662.6544,6711354.531
129,-51650.4049,6711344.056
130,-51654.7169,6711307.898
130,-51648.3561,6711305.705
130,-51627.9139,6711297.838
130,-51614.8465,6711291.727
131,-51717.7118,6711332.795
131,-51715.8243,6711309.387
132,-51688.7856,6711319.619
132,-51687.7984,6711295.087
133,-51596.2892,6711393.284
133,-51605.5815,6711373.423
133,-51614.131,6711358.843
134,-51576.0884,6711284.973
134,-51572.21,6711271.063
135,-51634.3872,6711347.506
135,-51645.4997,6711324.752
136,-51688.0859,6711328.873
136,-51703.776,6711313.403
137,-51626.5187,6711274.894
137,-51617.7753,6711287.401
137,-51607.655,6711302.35
