#FID, PT_X, PT_Y
4,-53437.0205,6731229.998
4,-53246.4824,6731382.889
4,-53123.788,6731481.02
4,-52963.1845,6731609.075
4,-52936.0474,6731630.673
4,-52923.6008,6731640.578
4,-52882.9753,6731672.827
4,-52774.172,6731759.046
4,-52708.1017,6731811.213
4,-52635.3962,6731868.431
4,-52532.7684,6731948.727
4,-52408.0152,6732045.191
4,-52362.2185,6732080.156
4,-52244.5313,6732168.328
4,-51941.9634,6732369.935
4,-51830.8092,6732441.893
4,-51700.8182,6732535.922
147,-53076.8168,6734002.008
147,-53382.3492,6733310.61
188,-53071.8868,6732928.39
188,-53175.1207,6732882.856
188,-53275.5043,6732808.044
188,-53428.1343,6732738.393
188,-53635.8494,6732631.609
188,-53738.6239,6732588.879
188,-54068.1914,6732434.767
189,-53826.8031,6731160.565
189,-53189.156,6731840.545
189,-52490.6546,6732443.797
189,-52194.3207,6732687.214
190,-54779.305,6731480.711
190,-54408.8876,6731792.92
190,-53972.3243,6732150.109
190,-53642.2565,6732410.638
191,-54530.5962,6731123.523
191,-54025.241,6731671.212
191,-53620.4277,6732126.296
192,-51736.5906,6733256.069
192,-52228.7166,6732718.964
193,-52543.4211,6732398.226
193,-51941.9634,6732369.935
194,-54863.9719,6732748.068
194,-53776.528,6732571.154
195,-53287.052,6733719.091
195,-52591.1965,6733610.612
196,-53369.073,6733859.32
196,-52654.6966,6733679.403
197,-52858.4262,6734002.008
197,-52915.7588,6733661.209
198,-52710.2592,6733957.216
198,-52779.051,6733412.174
199,-53773.8864,6732999.423
199,-53228.8436,6733219.027
199,-52779.051,6733412.174
199,-52331.9043,6733610.612
200,-52649.4049,6733848.737
200,-52713.9789,6733441.052
201,-52877.4156,6733655.231
201,-52921.1019,6733351.175
202,-53011.5679,6733676.145
202,-53064.1251,6733289.76
203,-53080.6766,6733877.841
203,-53165.3215,6733246.305
204,-52239.3,6733621.195
204,-52734.0718,6733208.444
204,-53071.8868,6732928.39
204,-53226.1978,6732782.464
205,-54588.8047,6733253.423
205,-54459.1586,6732499.359
206,-54313.6374,6732475.547
206,-54573.6783,6733165.443
207,-53511.9483,6733719.091
207,-53773.8864,6732999.423
207,-53856.7393,6732584.204
208,-53833.4291,6732544.546
208,-53915.1854,6732195.21
208,-54068.6482,6731624.168
208,-54152.2413,6731187.023
210,-54191.9289,6733719.091
210,-54342.7417,6733261.361
210,-54398.3043,6733076.152
211,-54477.6794,6733398.944
211,-54297.7624,6733017.944
212,-54310.9916,6733229.611
212,-54429.8438,6732783.846
213,-54306.8726,6733370.227
213,-54146.9496,6732787.756
214,-54369.2,6733652.945
214,-54202.5122,6733189.923
214,-54064.9286,6732777.172
215,-54453.8669,6733573.57
215,-53700.2086,6733201.851
216,-52721.057,6733219.301
216,-52932.5097,6732255.942
217,-51961.4869,6733457.153
217,-51998.4649,6732970.26
218,-52072.6121,6733211.09
218,-52107.008,6732951.798
219,-51755.1115,6733306.34
219,-52081.1644,6733146.618
220,-51842.4242,6733406.882
220,-51856.1424,6733256.849
221,-51887.4034,6733388.361
221,-51971.2918,6733328.051
222,-54030.5327,6732491.422
222,-54068.1914,6732434.767
222,-54752.8466,6731856.421
223,-53738.6239,6732588.879
223,-53790.0138,6732294.01
224,-53873.6615,6732227.985
224,-53735.2113,6731997.258
225,-53218.8629,6731808.866
225,-53628.3652,6731287.565
226,-53539.0453,6731401.27
226,-53246.4824,6731382.889
227,-53433.2025,6731536.01
227,-53123.788,6731481.02
228,-53329.8373,6731667.595
228,-52963.1845,6731609.075
229,-52884.2677,6732103.858
229,-52774.172,6731759.046
230,-52975.8857,6732024.733
230,-52882.9753,6731672.827
231,-53019.3526,6731987.194
231,-52923.6008,6731640.578
232,-53285.8648,6731723.572
232,-52936.0474,6731630.673
233,-53003.5494,6731929.987
233,-53168.0193,6731692.276
234,-53222.0242,6731650.387
234,-53341.399,6731519.694
235,-53256.3392,6731504.577
235,-53384.5113,6731391.561
236,-53549.7245,6731387.676
236,-53470.3205,6731270.632
237,-53578.4022,6731351.169
237,-53521.1206,6731256.873
238,-52589.5736,6732358.367
238,-52932.5097,6732255.942
238,-53466.0871,6732107.034
239,-52914.0254,6732078.158
239,-53487.2538,6731966.805
240,-54254.547,6733689.246
240,-54326.6005,6733534.613
