#FID, PT_X, PT_Y
385,-54464.5178,6732892.616
385,-54387.9778,6732681.77
483,-54526.6587,6732890.677
483,-54487.3879,6732657.545
560,-54394.8369,6732893.896
560,-54401.9807,6732763.191
685,-54412.2329,6732889.577
685,-54415.2042,6732827.072
767,-54410.0282,6732855.662
767,-54352.3319,6732719.191
768,-54411.6401,6732902.048
768,-54328.9555,6732840.582
772,-54371.4212,6732923.529
772,-54355.9431,6732835.026
773,-54310.6129,6732799.271
773,-54357.0122,6732841.139
844,-54556.7893,6732747.595
844,-54548.9576,6732669.066
849,-54471.7319,6732912.489
849,-54479.866,6732835.828
898,-54500.8935,6732737.727
898,-54463.2909,6732657.545
899,-54479.9597,6732750.811
899,-54429.9533,6732664.689
900,-54521.5986,6732860.639
900,-54485.091,6732806.33
900,-54479.3791,6732797.878
900,-54399.3939,6732670.642
906,-54410.3469,6732808.549
906,-54371.7177,6732689.487
924,-54547.7073,6732756.717
924,-54540.7619,6732688.586
925,-54518.603,6732765.977
925,-54504.0509,6732667.089
926,-54529.8478,6732782.183
926,-54521.5796,6732674.365
942,-54485.091,6732806.33
942,-54495.043,6732725.252
943,-54472.9759,6732787.692
943,-54476.5892,6732745.007
944,-54458.5958,6732876.303
944,-54475.0332,6732790.964
944,-54479.1368,6732764.977
980,-54521.6322,6732831.153
980,-54530.468,6732794.262
981,-54429.397,6732882.633
981,-54427.0157,6732856.968
983,-54375.636,6732875.283
983,-54362.7218,6732837.389
984,-54387.577,6732884.16
984,-54392.0906,6732847.179
987,-54557.9847,6732863.318
987,-54515.7555,6732825.953
992,-54451.0928,6732884.75
992,-54447.3887,6732863.583
993,-54488.6637,6732885.279
993,-54490.5158,6732838.977
994,-54502.4221,6732885.279
994,-54507.3257,6732839.407
996,-54367.7489,6732792.939
996,-54371.9186,6732765.52
997,-54359.8114,6732788.441
997,-54366.3567,6732752.364
1000,-54435.2178,6732750.87
1000,-54424.899,6732723.353
1001,-54439.8246,6732734.957
1001,-54436.2761,6732698.218
1002,-54389.2542,6732743.538
1002,-54352.3319,6732719.191
1002,-54332.2947,6732705.362
1004,-54535.163,6732843.125
1004,-54547.6659,6732794.527
1005,-54550.5764,6732838.183
1005,-54550.3118,6732811.989
1006,-54534.7013,6732771.508
1006,-54535.2305,6732753.251
1007,-54532.0555,6732773.36
1007,-54532.3201,6732752.193
1009,-54466.1645,6732776.857
1009,-54470.66,6732734.795
1010,-54422.1209,6732808.616
1010,-54385.0792,6732692.463
1011,-54417.8876,6732812.849
1011,-54401.9807,6732763.191
1011,-54381.1104,6732702.451
1012,-54353.8583,6732868.412
1012,-54352.7999,6732852.537
1013,-54442.7584,6732881.839
1013,-54444.3459,6732853.859
1014,-54531.1295,6732740.353
1014,-54528.7482,6732702.451
1015,-54475.8559,6732873.622
1015,-54464.4176,6732846.078
1016,-54470.7603,6732861.351
1016,-54468.126,6732826.824
1017,-54495.6752,6732881.839
1017,-54500.031,6732828.555
1018,-54380.3167,6732835.074
1018,-54362.5895,6732792.211
1019,-54360.7374,6732830.311
1019,-54355.7104,6732813.907
1020,-54361.7958,6732816.024
1020,-54351.7416,6732792.741
1021,-54450.2379,6732853.279
1021,-54450.696,6732833.486
1022,-54445.7954,6732841.041
1022,-54446.198,6732821.58
1023,-54441.3063,6732828.675
1023,-54442.4939,6732807.028
1024,-54416.1147,6732789.782
1024,-54416.9938,6732761.701
1025,-54495.9398,6732788.772
1025,-54489.0884,6732773.764
1026,-54505.0658,6732836.045
1026,-54510.148,6732792.665
1027,-54414.9771,6732735.061
1027,-54409.1563,6732702.451
1028,-54363.8764,6732766.036
1028,-54351.2124,6732731.093
1029,-54341.2487,6732826.915
1029,-54341.1582,6732789.566
1030,-54352.7999,6732821.845
1030,-54345.3916,6732792.476
1031,-54398.9914,6732817.884
1031,-54359.5843,6732723.973
1032,-54377.4123,6732766.459
1032,-54391.6563,6732750.941
1033,-54372.6551,6732755.122
1033,-54390.0588,6732746.018
1034,-54432.9688,6732858.622
1034,-54434.2918,6732828.724
1035,-54497.4369,6732860.289
1035,-54490.2911,6732844.595
1036,-54540.1253,6732771.838
1036,-54537.7441,6732739.295
1037,-54343.4866,6732698.655
1037,-54348.743,6732736.922
1038,-54357.7741,6732697.543
1038,-54363.8071,6732726.758
1039,-54433.8489,6732747.22
1039,-54408.697,6732738.846
1041,-54473.6999,6732740.03
1041,-54479.9589,6732702.451
1042,-54551.9257,6732785.173
1042,-54551.6612,6732764.007
1043,-54549.0153,6732785.967
1043,-54548.7507,6732765.065
1045,-54368.9432,6732785.085
1045,-54360.9088,6732782.393
1046,-54550.7969,6732881.839
1046,-54552.5148,6732858.478
1047,-54545.5064,6732735.127
1047,-54527.6034,6732732.058
1048,-54388.3768,6732804.449
1048,-54367.7489,6732792.939
1048,-54364.2494,6732790.955
1049,-54370.0754,6732858.967
1049,-54360.0962,6732858.773
1050,-54358.7133,6732850.865
1050,-54340.5865,6732849.228
